,X,Y,Z
P0,22.435695,-111.58204199999999,1.5
P1,22.435695,-106.51851,1.5
P2,22.435695,-101.454978,1.5
P3,22.435695,-96.391446,1.5
P4,22.435695,-91.327914,1.5
P5,22.435695,-86.264382,1.5
P6,22.435695,-81.20085,1.5
P7,22.435695,-76.13731800000001,1.5
P8,22.435695,-71.073786,1.5
P9,22.435695,-66.010254,1.5
P10,22.435695,-60.946723,1.5
P11,27.499351,-126.77263799999999,1.5
P12,27.499351,-121.709106,1.5
P13,27.499351,-116.645574,1.5
P14,27.499351,-111.58204199999999,1.5
P15,27.499351,-106.51851,1.5
P16,27.499351,-101.454978,1.5
P17,27.499351,-96.391446,1.5
P18,27.499351,-91.327914,1.5
P19,27.499351,-86.264382,1.5
P20,27.499351,-81.20085,1.5
P21,27.499351,-76.13731800000001,1.5
P22,27.499351,-55.883191000000004,1.5
P23,27.499351,-50.819659,1.5
P24,27.499351,-45.756127,1.5
P25,32.563006,-136.899702,1.5
P26,32.563006,-131.83616999999998,1.5
P27,32.563006,-126.77263799999999,1.5
P28,32.563006,-121.709106,1.5
P29,32.563006,-116.645574,1.5
P30,32.563006,-111.58204199999999,1.5
P31,32.563006,-106.51851,1.5
P32,32.563006,-101.454978,1.5
P33,32.563006,-96.391446,1.5
P34,32.563006,-91.327914,1.5
P35,32.563006,-86.264382,1.5
P36,32.563006,-55.883191000000004,1.5
P37,32.563006,-50.819659,1.5
P38,32.563006,-45.756127,1.5
P39,32.563006,-40.692595000000004,1.5
P40,32.563006,-35.629063,1.5
P41,37.626662,-141.963234,1.5
P42,37.626662,-136.899702,1.5
P43,37.626662,-131.83616999999998,1.5
P44,37.626662,-126.77263799999999,1.5
P45,37.626662,-121.709106,1.5
P46,37.626662,-116.645574,1.5
P47,37.626662,-111.58204199999999,1.5
P48,37.626662,-106.51851,1.5
P49,37.626662,-101.454978,1.5
P50,37.626662,-96.391446,1.5
P51,37.626662,-50.819659,1.5
P52,37.626662,-45.756127,1.5
P53,37.626662,-40.692595000000004,1.5
P54,37.626662,-35.629063,1.5
P55,37.626662,-30.565531,1.5
P56,42.690317,-147.02676599999998,1.5
P57,42.690317,-141.963234,1.5
P58,42.690317,-136.899702,1.5
P59,42.690317,-131.83616999999998,1.5
P60,42.690317,-126.77263799999999,1.5
P61,42.690317,-121.709106,1.5
P62,42.690317,-116.645574,1.5
P63,42.690317,-45.756127,1.5
P64,42.690317,-40.692595000000004,1.5
P65,42.690317,-35.629063,1.5
P66,42.690317,-30.565531,1.5
P67,42.690317,-25.501998999999998,1.5
P68,47.753973,-152.090298,1.5
P69,47.753973,-147.02676599999998,1.5
P70,47.753973,-141.963234,1.5
P71,47.753973,-136.899702,1.5
P72,47.753973,-131.83616999999998,1.5
P73,47.753973,-126.77263799999999,1.5
P74,47.753973,-45.756127,1.5
P75,47.753973,-40.692595000000004,1.5
P76,47.753973,-35.629063,1.5
P77,47.753973,-30.565531,1.5
P78,47.753973,-25.501998999999998,1.5
P79,47.753973,-20.438467000000003,1.5
P80,52.817628,-157.15383,1.5
P81,52.817628,-152.090298,1.5
P82,52.817628,-147.02676599999998,1.5
P83,52.817628,-141.963234,1.5
P84,52.817628,-55.883191000000004,1.5
P85,52.817628,-50.819659,1.5
P86,52.817628,-45.756127,1.5
P87,52.817628,-40.692595000000004,1.5
P88,52.817628,-35.629063,1.5
P89,52.817628,-30.565531,1.5
P90,52.817628,-25.501998999999998,1.5
P91,52.817628,-20.438467000000003,1.5
P92,52.817628,-15.374935,1.5
P93,57.881284,-162.217362,1.5
P94,57.881284,-157.15383,1.5
P95,57.881284,-152.090298,1.5
P96,57.881284,-147.02676599999998,1.5
P97,57.881284,-76.13731800000001,1.5
P98,57.881284,-55.883191000000004,1.5
P99,57.881284,-50.819659,1.5
P100,57.881284,-45.756127,1.5
P101,57.881284,-40.692595000000004,1.5
P102,57.881284,-35.629063,1.5
P103,57.881284,-30.565531,1.5
P104,57.881284,-25.501998999999998,1.5
P105,57.881284,-20.438467000000003,1.5
P106,57.881284,-15.374935,1.5
P107,57.881284,-10.311403,1.5
P108,62.944939,-167.280894,1.5
P109,62.944939,-162.217362,1.5
P110,62.944939,-157.15383,1.5
P111,62.944939,-152.090298,1.5
P112,62.944939,-147.02676599999998,1.5
P113,62.944939,-106.51851,1.5
P114,62.944939,-101.454978,1.5
P115,62.944939,-96.391446,1.5
P116,62.944939,-91.327914,1.5
P117,62.944939,-86.264382,1.5
P118,62.944939,-81.20085,1.5
P119,62.944939,-50.819659,1.5
P120,62.944939,-45.756127,1.5
P121,62.944939,-40.692595000000004,1.5
P122,62.944939,-35.629063,1.5
P123,62.944939,-30.565531,1.5
P124,62.944939,-25.501998999999998,1.5
P125,62.944939,-20.438467000000003,1.5
P126,62.944939,-15.374935,1.5
P127,62.944939,-10.311403,1.5
P128,62.944939,-5.247871,1.5
P129,68.008595,-172.344426,1.5
P130,68.008595,-167.280894,1.5
P131,68.008595,-162.217362,1.5
P132,68.008595,-157.15383,1.5
P133,68.008595,-152.090298,1.5
P134,68.008595,-147.02676599999998,1.5
P135,68.008595,-121.709106,1.5
P136,68.008595,-116.645574,1.5
P137,68.008595,-111.58204199999999,1.5
P138,68.008595,-106.51851,1.5
P139,68.008595,-101.454978,1.5
P140,68.008595,-96.391446,1.5
P141,68.008595,-50.819659,1.5
P142,68.008595,-45.756127,1.5
P143,68.008595,-40.692595000000004,1.5
P144,68.008595,-35.629063,1.5
P145,68.008595,-30.565531,1.5
P146,68.008595,-25.501998999999998,1.5
P147,68.008595,-20.438467000000003,1.5
P148,68.008595,-15.374935,1.5
P149,68.008595,-10.311403,1.5
P150,68.008595,-5.247871,1.5
P151,68.008595,-0.184339,1.5
P152,73.07225,-172.344426,1.5
P153,73.07225,-167.280894,1.5
P154,73.07225,-162.217362,1.5
P155,73.07225,-157.15383,1.5
P156,73.07225,-152.090298,1.5
P157,73.07225,-147.02676599999998,1.5
P158,73.07225,-141.963234,1.5
P159,73.07225,-116.645574,1.5
P160,73.07225,-111.58204199999999,1.5
P161,73.07225,-50.819659,1.5
P162,73.07225,-45.756127,1.5
P163,73.07225,-40.692595000000004,1.5
P164,73.07225,-35.629063,1.5
P165,73.07225,-30.565531,1.5
P166,73.07225,-25.501998999999998,1.5
P167,73.07225,-20.438467000000003,1.5
P168,73.07225,-15.374935,1.5
P169,73.07225,-10.311403,1.5
P170,73.07225,-5.247871,1.5
P171,73.07225,-0.184339,1.5
P172,78.135906,-177.407958,1.5
P173,78.135906,-172.344426,1.5
P174,78.135906,-167.280894,1.5
P175,78.135906,-162.217362,1.5
P176,78.135906,-157.15383,1.5
P177,78.135906,-152.090298,1.5
P178,78.135906,-147.02676599999998,1.5
P179,78.135906,-141.963234,1.5
P180,78.135906,-55.883191000000004,1.5
P181,78.135906,-50.819659,1.5
P182,78.135906,-45.756127,1.5
P183,78.135906,-40.692595000000004,1.5
P184,78.135906,-35.629063,1.5
P185,78.135906,-30.565531,1.5
P186,78.135906,-25.501998999999998,1.5
P187,78.135906,-20.438467000000003,1.5
P188,78.135906,-15.374935,1.5
P189,78.135906,-10.311403,1.5
P190,78.135906,-5.247871,1.5
P191,78.135906,-0.184339,1.5
P192,78.135906,4.879193,1.5
P193,83.199561,-177.407958,1.5
P194,83.199561,-172.344426,1.5
P195,83.199561,-167.280894,1.5
P196,83.199561,-162.217362,1.5
P197,83.199561,-157.15383,1.5
P198,83.199561,-152.090298,1.5
P199,83.199561,-147.02676599999998,1.5
P200,83.199561,-141.963234,1.5
P201,83.199561,-136.899702,1.5
P202,83.199561,-81.20085,1.5
P203,83.199561,-76.13731800000001,1.5
P204,83.199561,-71.073786,1.5
P205,83.199561,-66.010254,1.5
P206,83.199561,-60.946723,1.5
P207,83.199561,-55.883191000000004,1.5
P208,83.199561,-50.819659,1.5
P209,83.199561,-45.756127,1.5
P210,83.199561,-40.692595000000004,1.5
P211,83.199561,-35.629063,1.5
P212,83.199561,-30.565531,1.5
P213,83.199561,-25.501998999999998,1.5
P214,83.199561,-20.438467000000003,1.5
P215,83.199561,-15.374935,1.5
P216,83.199561,-10.311403,1.5
P217,83.199561,-5.247871,1.5
P218,83.199561,-0.184339,1.5
P219,83.199561,4.879193,1.5
P220,88.263217,-177.407958,1.5
P221,88.263217,-172.344426,1.5
P222,88.263217,-167.280894,1.5
P223,88.263217,-162.217362,1.5
P224,88.263217,-157.15383,1.5
P225,88.263217,-152.090298,1.5
P226,88.263217,-147.02676599999998,1.5
P227,88.263217,-141.963234,1.5
P228,88.263217,-136.899702,1.5
P229,88.263217,-96.391446,1.5
P230,88.263217,-91.327914,1.5
P231,88.263217,-86.264382,1.5
P232,88.263217,-81.20085,1.5
P233,88.263217,-55.883191000000004,1.5
P234,88.263217,-50.819659,1.5
P235,88.263217,-45.756127,1.5
P236,88.263217,-40.692595000000004,1.5
P237,88.263217,-35.629063,1.5
P238,88.263217,-30.565531,1.5
P239,88.263217,-25.501998999999998,1.5
P240,88.263217,-20.438467000000003,1.5
P241,88.263217,-15.374935,1.5
P242,88.263217,-10.311403,1.5
P243,88.263217,-5.247871,1.5
P244,88.263217,-0.184339,1.5
P245,88.263217,4.879193,1.5
P246,93.326873,-182.47149,1.5
P247,93.326873,-177.407958,1.5
P248,93.326873,-172.344426,1.5
P249,93.326873,-167.280894,1.5
P250,93.326873,-162.217362,1.5
P251,93.326873,-157.15383,1.5
P252,93.326873,-152.090298,1.5
P253,93.326873,-147.02676599999998,1.5
P254,93.326873,-141.963234,1.5
P255,93.326873,-136.899702,1.5
P256,93.326873,-101.454978,1.5
P257,93.326873,-96.391446,1.5
P258,93.326873,-91.327914,1.5
P259,93.326873,-50.819659,1.5
P260,93.326873,-45.756127,1.5
P261,93.326873,-40.692595000000004,1.5
P262,93.326873,-35.629063,1.5
P263,93.326873,-30.565531,1.5
P264,93.326873,-25.501998999999998,1.5
P265,93.326873,-20.438467000000003,1.5
P266,93.326873,-15.374935,1.5
P267,93.326873,-10.311403,1.5
P268,93.326873,-5.247871,1.5
P269,93.326873,-0.184339,1.5
P270,93.326873,4.879193,1.5
P271,93.326873,9.942725,1.5
P272,98.390528,-182.47149,1.5
P273,98.390528,-177.407958,1.5
P274,98.390528,-172.344426,1.5
P275,98.390528,-167.280894,1.5
P276,98.390528,-162.217362,1.5
P277,98.390528,-157.15383,1.5
P278,98.390528,-152.090298,1.5
P279,98.390528,-147.02676599999998,1.5
P280,98.390528,-141.963234,1.5
P281,98.390528,-136.899702,1.5
P282,98.390528,-111.58204199999999,1.5
P283,98.390528,-106.51851,1.5
P284,98.390528,-50.819659,1.5
P285,98.390528,-45.756127,1.5
P286,98.390528,-40.692595000000004,1.5
P287,98.390528,-35.629063,1.5
P288,98.390528,-30.565531,1.5
P289,98.390528,-25.501998999999998,1.5
P290,98.390528,-20.438467000000003,1.5
P291,98.390528,-15.374935,1.5
P292,98.390528,-10.311403,1.5
P293,98.390528,-5.247871,1.5
P294,98.390528,-0.184339,1.5
P295,98.390528,4.879193,1.5
P296,98.390528,9.942725,1.5
P297,103.454184,-182.47149,1.5
P298,103.454184,-177.407958,1.5
P299,103.454184,-172.344426,1.5
P300,103.454184,-167.280894,1.5
P301,103.454184,-162.217362,1.5
P302,103.454184,-157.15383,1.5
P303,103.454184,-152.090298,1.5
P304,103.454184,-147.02676599999998,1.5
P305,103.454184,-141.963234,1.5
P306,103.454184,-136.899702,1.5
P307,103.454184,-131.83616999999998,1.5
P308,103.454184,-126.77263799999999,1.5
P309,103.454184,-106.51851,1.5
P310,103.454184,-66.010254,1.5
P311,103.454184,-60.946723,1.5
P312,103.454184,-55.883191000000004,1.5
P313,103.454184,-50.819659,1.5
P314,103.454184,-45.756127,1.5
P315,103.454184,-40.692595000000004,1.5
P316,103.454184,-35.629063,1.5
P317,103.454184,-30.565531,1.5
P318,103.454184,-25.501998999999998,1.5
P319,103.454184,-20.438467000000003,1.5
P320,103.454184,-15.374935,1.5
P321,103.454184,-10.311403,1.5
P322,103.454184,-5.247871,1.5
P323,103.454184,-0.184339,1.5
P324,103.454184,4.879193,1.5
P325,103.454184,9.942725,1.5
P326,108.517839,-182.47149,1.5
P327,108.517839,-177.407958,1.5
P328,108.517839,-172.344426,1.5
P329,108.517839,-167.280894,1.5
P330,108.517839,-162.217362,1.5
P331,108.517839,-157.15383,1.5
P332,108.517839,-152.090298,1.5
P333,108.517839,-147.02676599999998,1.5
P334,108.517839,-141.963234,1.5
P335,108.517839,-136.899702,1.5
P336,108.517839,-131.83616999999998,1.5
P337,108.517839,-126.77263799999999,1.5
P338,108.517839,-101.454978,1.5
P339,108.517839,-76.13731800000001,1.5
P340,108.517839,-71.073786,1.5
P341,108.517839,-66.010254,1.5
P342,108.517839,-60.946723,1.5
P343,108.517839,-55.883191000000004,1.5
P344,108.517839,-50.819659,1.5
P345,108.517839,-45.756127,1.5
P346,108.517839,-40.692595000000004,1.5
P347,108.517839,-35.629063,1.5
P348,108.517839,-30.565531,1.5
P349,108.517839,-25.501998999999998,1.5
P350,108.517839,-20.438467000000003,1.5
P351,108.517839,-15.374935,1.5
P352,108.517839,-10.311403,1.5
P353,108.517839,-5.247871,1.5
P354,108.517839,-0.184339,1.5
P355,108.517839,4.879193,1.5
P356,108.517839,9.942725,1.5
P357,113.581495,-182.47149,1.5
P358,113.581495,-177.407958,1.5
P359,113.581495,-172.344426,1.5
P360,113.581495,-167.280894,1.5
P361,113.581495,-162.217362,1.5
P362,113.581495,-157.15383,1.5
P363,113.581495,-152.090298,1.5
P364,113.581495,-147.02676599999998,1.5
P365,113.581495,-141.963234,1.5
P366,113.581495,-136.899702,1.5
P367,113.581495,-131.83616999999998,1.5
P368,113.581495,-126.77263799999999,1.5
P369,113.581495,-101.454978,1.5
P370,113.581495,-96.391446,1.5
P371,113.581495,-91.327914,1.5
P372,113.581495,-86.264382,1.5
P373,113.581495,-81.20085,1.5
P374,113.581495,-76.13731800000001,1.5
P375,113.581495,-71.073786,1.5
P376,113.581495,-66.010254,1.5
P377,113.581495,-45.756127,1.5
P378,113.581495,-40.692595000000004,1.5
P379,113.581495,-35.629063,1.5
P380,113.581495,-30.565531,1.5
P381,113.581495,-25.501998999999998,1.5
P382,113.581495,-20.438467000000003,1.5
P383,113.581495,-15.374935,1.5
P384,113.581495,-10.311403,1.5
P385,113.581495,-5.247871,1.5
P386,113.581495,-0.184339,1.5
P387,113.581495,4.879193,1.5
P388,113.581495,9.942725,1.5
P389,118.64515,-182.47149,1.5
P390,118.64515,-177.407958,1.5
P391,118.64515,-172.344426,1.5
P392,118.64515,-167.280894,1.5
P393,118.64515,-162.217362,1.5
P394,118.64515,-157.15383,1.5
P395,118.64515,-152.090298,1.5
P396,118.64515,-147.02676599999998,1.5
P397,118.64515,-141.963234,1.5
P398,118.64515,-136.899702,1.5
P399,118.64515,-131.83616999999998,1.5
P400,118.64515,-126.77263799999999,1.5
P401,118.64515,-101.454978,1.5
P402,118.64515,-96.391446,1.5
P403,118.64515,-91.327914,1.5
P404,118.64515,-86.264382,1.5
P405,118.64515,-81.20085,1.5
P406,118.64515,-45.756127,1.5
P407,118.64515,-40.692595000000004,1.5
P408,118.64515,-35.629063,1.5
P409,118.64515,-30.565531,1.5
P410,118.64515,-25.501998999999998,1.5
P411,118.64515,-20.438467000000003,1.5
P412,118.64515,-15.374935,1.5
P413,118.64515,-10.311403,1.5
P414,118.64515,-5.247871,1.5
P415,118.64515,-0.184339,1.5
P416,118.64515,4.879193,1.5
P417,118.64515,9.942725,1.5
P418,123.708806,-182.47149,1.5
P419,123.708806,-177.407958,1.5
P420,123.708806,-172.344426,1.5
P421,123.708806,-167.280894,1.5
P422,123.708806,-162.217362,1.5
P423,123.708806,-157.15383,1.5
P424,123.708806,-152.090298,1.5
P425,123.708806,-147.02676599999998,1.5
P426,123.708806,-141.963234,1.5
P427,123.708806,-136.899702,1.5
P428,123.708806,-131.83616999999998,1.5
P429,123.708806,-126.77263799999999,1.5
P430,123.708806,-121.709106,1.5
P431,123.708806,-96.391446,1.5
P432,123.708806,-45.756127,1.5
P433,123.708806,-40.692595000000004,1.5
